game_id,n_episodes,cv_score,cv_std
126283,74,13.110100178556083,9.256179754673921
126284,75,14.367398820433625,9.633499600997695
126285,87,16.765685505403606,11.41503185683533
126286,77,15.256679081010232,10.084198219051514
126287,81,14.691566764156859,13.001598167480674
126288,87,15.898423318693986,12.75517407050652
126289,72,16.73936362025806,11.842551903293181
126290,79,14.554431952220447,10.114605863951985
126291,77,13.039009735919231,8.38738635566195
126292,91,15.296407266885794,11.405724563539898
126293,88,15.41494499563138,11.579724170421692
126294,87,14.032222583405899,9.784103706100886
126295,71,17.672509752912696,12.689099680040695
126296,58,14.437240475071544,10.418726269898743
126297,96,16.798043362276807,13.079447059202177
126298,74,14.603133544933144,9.956318331733918
126299,88,16.542500729708845,11.230418238414952
126300,79,15.251140673818824,11.209411862262819
126301,66,17.516161806078205,12.376812775515974
126302,89,14.154767154756351,10.392988226591056
126303,94,15.602632666301808,10.145442784379549
126304,92,14.464923083719714,10.125059861824024
126305,77,16.893415012882112,12.016976092904196
126306,77,15.255609864693866,12.788092037169562
126307,74,14.091843384612687,8.429018584672436
126308,82,17.36305545532328,12.324775399237003
126309,61,15.719794160718516,10.536806113918457
126310,86,19.298188878243874,14.138912324127437
126311,103,15.808852390214714,12.600555488179927
126312,91,16.80237266159166,12.619292416598567
126313,77,16.595890155350748,11.077460033298866
126314,110,15.36341314789653,11.099428536022566
126315,83,18.594645090642377,12.382324160154726
126316,87,16.272462189543887,13.258425763170665
126317,67,15.311115462807646,12.861549806560856
126318,82,16.5643766628771,12.345327495669784
126319,82,14.85463826619489,10.630366548809578
126320,78,14.517020320196808,11.560893629792979
126321,61,13.817641154610223,7.4208911353928
126322,91,16.329759962116583,13.376843751722966
126323,87,15.714389344810021,10.80701285605449
126324,71,14.266585926205705,11.171660510302843
126325,74,16.167016830299218,11.756600590141481
126326,89,11.334588842996512,8.13030415238925
126327,74,17.124407511912143,12.426177568915676
126328,87,16.073076588813915,11.150234332007685
126329,91,15.773485189927921,11.406510801166215
126330,86,16.36907044255927,13.088484687653068
126331,89,16.45333052724959,12.563259905659725
126332,76,20.11588752252286,14.466350074066447
126333,71,17.02933041343888,12.25385428789658
126334,66,16.823918384963342,13.499583027163029
126335,79,18.104724632926224,12.508999666860044
126336,81,17.37302020645374,12.541797172688677
126337,80,16.229088263057257,13.74471814870844
126338,65,15.850359479242627,12.675816868659368
126339,82,15.16700286817288,11.777034399717593
126340,80,17.264089224214263,12.463767022684303
126341,80,17.4521984229098,12.868830993775859
126342,88,17.40258213311952,12.807258008591079
126343,69,15.945597622678825,12.24385617820234
126344,81,16.19372367800146,11.249597829954327
126345,77,16.86565437297076,13.02560786008851
126346,95,15.329421668936439,11.335709344632997
126347,84,16.06426246623333,12.41674006877723
126348,80,16.437368450971586,12.209881369270864
126349,80,17.046102966984357,11.83298952048234
126350,86,17.180653719097123,13.210006307144909
126351,76,15.09187455394978,11.993173764413196
126352,71,14.085840109161047,10.311580804263448
126353,78,15.941488546948577,11.069198983887603
126354,78,17.682122077924607,13.242982868718599
126355,92,16.968895116383663,13.726781269822423
126356,77,15.0997431319753,11.258791897353753
126357,80,14.549805822743792,11.092610583636286
126358,76,15.666987605793425,12.370353404583092
126359,68,18.756349745764084,13.774131351313995
126360,78,18.28063110197654,13.665385833103613
126361,67,19.029552709563745,13.91542623483366
126362,68,17.8153027192066,13.67434443780895
126363,78,16.49200050367898,11.54651253791004
126364,66,19.23360247812514,13.854363952039858
126365,65,17.935777508427854,13.075090339061143
126366,90,15.548382920185096,10.921454974353418
126367,81,16.311319230539024,12.11277512643826
126368,80,17.492318325461486,12.680545543103861
126369,78,15.74187481185582,10.444219615299652
126370,83,14.844294963004693,11.243855395785317
126371,71,13.686084576590996,11.735116682789867
126372,73,21.286101210208212,14.7119564935527
126373,81,17.221043955607808,13.223933075961527
126374,74,15.679740917024366,11.296180611192035
126375,91,16.46047234400854,11.588912761865872
126376,71,16.64098235755229,11.106065021370062
126377,72,18.428126707758715,13.882936596355153
126378,73,18.79391380753743,14.190309909467066
126379,64,15.485287538729164,10.107294480032145
126380,81,19.02058267703661,13.555828060126087
126381,78,16.403727754147692,12.29886643214754
126382,80,15.133876339320613,9.74214084087353
126383,66,17.40672400122505,12.379470082617901
126384,80,14.859028398495775,10.015083727511398
126385,84,16.16459098236061,11.924085250046733
126386,59,15.296094315696832,10.51491747835828
126387,90,17.943497936411067,14.950380339054679
126388,76,16.407420051373354,11.91994921172117
126389,58,16.09899411407193,12.309292206274133
126390,78,16.759699408047915,13.16141949037054
126391,74,15.420420025772064,11.24321301856881
126392,71,15.773574552157397,12.120522588962743
126393,100,13.61568641520424,9.14102248371793
126394,68,17.040917778273247,12.921193320420393
126395,79,15.785691911984584,10.652413058786923
126396,89,14.810081096601209,10.960265506839521
126397,83,14.192690170463123,9.148283347761392
126398,85,16.801231521818927,13.127499951740988
126399,68,16.94674818000896,12.028626213785762
126400,58,16.749594804611373,13.527398342847578
126401,58,14.739054895548632,8.524129301025388
126402,66,14.399439598980896,10.98639061427788
126403,90,15.891673592594973,11.79291230258624
126404,68,17.380878604680632,12.334716037214678
126405,81,14.228901800838413,9.855665041352903
126406,63,15.110993273383874,10.394747919382885
126407,71,15.61108868718608,12.112294713213135
126408,71,15.949650948535986,13.501775995563275
126409,78,16.74928393366021,12.264120555790834
126410,88,14.211437651911309,10.444127871424113
126411,76,14.912524779030269,10.97650144220004
126412,64,14.37705854097289,11.698982308872111
126413,73,16.69514724257565,11.607502553467178
126414,71,14.889903313635713,11.670920049556685
126415,75,15.429879166688622,12.674906886683344
126416,65,16.024170049132678,11.379688803447262
126417,90,15.363671252351608,10.679224346055571
